iter	Passed	Remaining
567	11244	8552
568	11270	8536
569	11293	8519
570	11317	8503
571	11341	8486
572	11365	8469
573	11390	8453
574	11414	8436
575	11439	8420
576	11462	8403
577	11487	8387
578	11511	8370
579	11536	8353
580	11561	8337
581	11586	8321
582	11609	8303
583	11631	8285
584	11656	8268
585	11680	8252
586	11703	8234
587	11728	8218
588	11752	8201
589	11776	8183
590	11798	8165
591	11821	8147
592	11844	8129
593	11866	8110
594	11890	8093
595	11912	8074
596	11936	8057
597	11961	8040
598	11985	8023
599	12008	8005
600	12032	7988
601	12058	7972
602	12081	7954
603	12105	7936
604	12128	7918
605	12152	7900
606	12176	7883
607	12199	7865
608	12223	7847
609	12247	7830
610	12271	7812
611	12296	7796
612	12321	7778
613	12344	7760
614	12368	7743
615	12392	7725
616	12415	7707
617	12439	7688
618	12462	7670
619	12484	7652
620	12509	7634
621	12532	7616
622	12556	7598
623	12580	7580
624	12602	7561
625	12627	7544
626	12651	7526
627	12675	7508
628	12697	7489
629	12721	7471
630	12746	7453
631	12771	7436
632	12795	7418
633	12818	7400
634	12843	7382
635	12868	7365
636	12893	7347
637	12915	7328
638	12937	7309
639	12961	7291
640	12985	7272
641	13011	7255
642	13035	7237
643	13060	7219
644	13085	7202
645	13109	7183
646	13134	7166
647	13159	7148
648	13183	7130
649	13207	7111
650	13229	7092
651	13253	7073
652	13276	7055
653	13300	7036
654	13325	7018
655	13351	7001
656	13376	6983
657	13401	6965
658	13427	6948
659	13451	6929
660	13476	6911
661	13501	6893
662	13526	6875
663	13550	6856
664	13571	6836
665	13585	6812
666	13600	6789
667	13612	6765
668	13625	6741
669	13637	6717
670	13651	6693
671	13664	6669
672	13677	6645
673	13689	6621
674	13702	6597
675	13716	6573
676	13728	6550
677	13741	6526
678	13754	6502
679	13767	6478
680	13779	6454
681	13793	6431
682	13805	6407
683	13819	6384
684	13831	6360
685	13844	6336
686	13856	6312
687	13868	6289
688	13881	6265
689	13893	6242
690	13906	6218
691	13918	6195
692	13930	6171
693	13943	6148
694	13956	6124
695	13969	6101
696	13983	6078
697	13997	6056
698	14011	6033
699	14023	6010
700	14035	5986
701	14050	5964
702	14063	5941
703	14076	5918
704	14088	5895
705	14100	5871
706	14112	5848
707	14127	5826
708	14140	5803
709	14153	5781
710	14166	5758
711	14180	5735
712	14194	5713
713	14207	5691
714	14220	5668
715	14234	5645
716	14246	5623
717	14259	5600
718	14272	5577
719	14284	5554
720	14296	5532
721	14309	5509
722	14321	5486
723	14334	5464
724	14346	5441
725	14360	5419
726	14372	5397
727	14385	5374
728	14398	5352
729	14411	5330
730	14424	5308
731	14438	5286
732	14451	5263
733	14463	5241
734	14475	5219
735	14489	5197
736	14502	5175
737	14514	5152
738	14526	5130
739	14538	5108
740	14550	5085
741	14562	5063
742	14574	5041
743	14587	5019
744	14600	4997
745	14613	4975
746	14626	4953
747	14640	4932
748	14653	4910
749	14666	4888
750	14678	4866
751	14691	4844
752	14706	4824
753	14720	4802
754	14733	4781
755	14746	4759
756	14759	4737
757	14773	4716
758	14785	4694
759	14798	4673
760	14812	4652
761	14825	4630
762	14838	4609
763	14852	4588
764	14866	4566
765	14880	4545
766	14894	4524
767	14907	4503
768	14921	4482
769	14934	4460
770	14947	4439
771	14961	4418
772	14974	4397
773	14987	4376
774	15000	4355
775	15013	4333
776	15025	4312
777	15039	4291
778	15051	4270
779	15063	4248
780	15076	4227
781	15090	4206
782	15103	4185
783	15117	4164
784	15130	4144
785	15143	4122
786	15156	4102
787	15169	4081
788	15183	4060
789	15196	4039
790	15208	4018
791	15221	3997
792	15234	3976
793	15248	3956
794	15263	3935
795	15276	3914
796	15288	3894
797	15303	3873
798	15316	3853
799	15329	3832
800	15342	3811
801	15357	3791
802	15372	3771
803	15386	3751
804	15399	3730
805	15413	3709
806	15427	3689
807	15441	3669
808	15455	3648
809	15476	3630
810	15502	3612
811	15525	3594
812	15549	3576
813	15571	3558
814	15599	3541
815	15627	3523
816	15651	3505
817	15677	3488
818	15705	3470
819	15733	3453
820	15760	3436
821	15785	3418
822	15811	3400
823	15837	3382
824	15862	3364
